country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26-03-2025 22:00,26.349082,92.68449,PM2.5,57,280,122
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26-03-2025 22:00,26.349082,92.68449,PM10,61,170,108
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26-03-2025 22:00,26.349082,92.68449,SO2,2,32,15
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26-03-2025 22:00,26.349082,92.68449,CO,24,106,69
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26-03-2025 22:00,26.446912,91.439057,PM2.5,238,374,326
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26-03-2025 22:00,26.446912,91.439057,NO2,1,173,12
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26-03-2025 22:00,26.446912,91.439057,NH3,1,1,1
India,Assam,Silchar,"Tarapur, Silchar - PCBA",26-03-2025 22:00,24.82827,92.79525,NH3,1,2,1
India,Assam,Silchar,"Tarapur, Silchar - PCBA",26-03-2025 22:00,24.82827,92.79525,CO,14,68,27
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26-03-2025 22:00,26.987634,94.636574,PM2.5,48,96,68
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26-03-2025 22:00,26.987634,94.636574,SO2,6,12,8
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",26-03-2025 22:00,25.42742023,86.13886079,OZONE,1,27,4
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26-03-2025 22:00,26.80365,84.51954,PM2.5,50,243,155
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26-03-2025 22:00,26.80365,84.51954,NO2,27,31,28
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26-03-2025 22:00,26.80365,84.51954,CO,37,111,84
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26-03-2025 22:00,26.80365,84.51954,OZONE,22,30,25
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",26-03-2025 22:00,25.251013,86.989001,NO2,18,58,28
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",26-03-2025 22:00,25.251013,86.989001,CO,12,21,18
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",26-03-2025 22:00,25.265194,87.012947,PM2.5,10,177,102
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",26-03-2025 22:00,25.265194,87.012947,PM10,86,270,142
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",26-03-2025 22:00,16.509717,80.612222,CO,28,40,32
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",26-03-2025 22:00,16.554731,80.64911,SO2,17,25,22
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",26-03-2025 22:00,17.72,83.3,NH3,2,4,2
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",26-03-2025 22:00,27.103358,93.679645,PM2.5,35,345,93
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",26-03-2025 22:00,27.103358,93.679645,PM10,38,288,89
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26-03-2025 22:00,26.071318,91.87488,SO2,28,35,30
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26-03-2025 22:00,26.987634,94.636574,CO,6,48,12
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26-03-2025 22:00,26.987634,94.636574,OZONE,1,16,7
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",26-03-2025 22:00,26.146529,87.454184,SO2,23,28,26
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",26-03-2025 22:00,24.75746,84.366208,NH3,1,1,1
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",26-03-2025 22:00,24.75746,84.366208,SO2,11,18,14
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",26-03-2025 22:00,25.42742023,86.13886079,PM2.5,25,375,152
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",26-03-2025 22:00,25.42742023,86.13886079,NO2,38,126,78
India,Assam,Guwahati,"IITG, Guwahati - PCBA",26-03-2025 22:00,26.2028636,91.70046436,NO2,1,12,4
India,Assam,Guwahati,"IITG, Guwahati - PCBA",26-03-2025 22:00,26.2028636,91.70046436,NH3,5,5,5
India,Assam,Guwahati,"IITG, Guwahati - PCBA",26-03-2025 22:00,26.2028636,91.70046436,OZONE,1,72,24
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26-03-2025 22:00,26.10887,91.589544,PM10,72,279,186
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26-03-2025 22:00,26.10887,91.589544,NO2,15,23,19
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26-03-2025 22:00,26.10887,91.589544,SO2,7,16,12
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26-03-2025 22:00,26.10887,91.589544,CO,10,64,30
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",26-03-2025 22:00,26.181742,91.78063,PM2.5,113,380,289
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",26-03-2025 22:00,26.181742,91.78063,SO2,18,21,19
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",26-03-2025 22:00,24.762518,84.982348,CO,14,48,16
